featureid	Intercept	C(site, Treatment('BJ'))[T.F]	C(season, Treatment('WINTER'))[T.SUMMER]
SH028903.07FU_FJ515186_reps	1.5431027920650582	0.9572511333639593	0.3849626803171944
SH022139.07FU_KF010172_reps	-1.8509513823581596	1.2966573554689855	2.920271041370661
SH017690.07FU_JQ761991_reps	-3.793138453204717	2.8671285528357	2.368102433658869
SH031936.07FU_JQ690081_reps	3.2028887780117135	0.03563946668457696	-3.184567091487616
SH005750.07FU_EF619689_reps	-1.0652253119541069	-0.8400936704461603	-0.34238761427280195
SH025461.07FU_KF800572_reps	2.7181870253490548	-0.6563357692544489	-3.501839516185492
SH020362.07FU_HQ257434_reps	-4.201202341754522	3.1476436275656194	1.4155035042536568
SH012469.07FU_DQ168665_reps	-1.8160669295383354	-0.17648023183989814	-2.103420612834662
SH028899.07FU_AF444541_refs	-0.2548517672611137	-3.0808057170693903	2.042783739544184
SH003415.07FU_EF652074_refs	0.01606231049767537	-2.4632996898477106	1.5014368319285225
SH030101.07FU_AY566992_refs	-3.516761728961553	-0.21967702921080878	1.9068843149912666
SH496060.07FU_KP757535_reps	2.553983858387385	-7.646430430967095	2.7636436247599434
SH006606.07FU_GQ292750_refs	-2.0676214186740776	1.4954386967833013	-0.07899141075488814
SH023109.07FU_HE608888_reps	-1.4912731139255424	1.1659818607981176	-1.138460633777349
SH021357.07FU_JX984753_reps	-3.9792303530765434	3.0971530098135442	2.4953233027232002
SH018427.07FU_U58639_reps	-0.9184305159641166	-1.1547614913766413	-0.78217959167835
SH488601.07FU_KP757522_reps	3.125405004780207	-1.2244335990731745	0.4441556395364117
SH008122.07FU_GU237794_refs	0.5701374919818978	-4.036162791806939	-0.25788879158374556
SH007901.07FU_JQ301894_refs	-1.133193203647222	-1.9060670715158015	3.4745999598276924
SH018662.07FU_AB371642_reps	-2.0844106165958305	0.5249000209982366	-1.4191499924885917
SH021477.07FU_KC965397_reps	-0.10823399706610637	-5.5480889659707575	1.9738316559565376
SH022268.07FU_AF033475_refs	0.2359467060970406	-0.3862300496881037	-0.09627821805354841
SH030064.07FU_HM148081_refs	2.3092952878879647	-0.7448765617196589	-0.6566776013600517
SH013920.07FU_HM365253_refs	-4.791640707690801	1.8036907929594488	1.7090981030237984
SH013593.07FU_KM014601_reps	-4.696549841601934	2.6258484739477606	2.2198121571314644
SH019644.07FU_FJ629352_refs	-1.7306296317172905	3.031619848650214	-1.0740739083516289
SH026361.07FU_KJ831936_reps	0.6064914377140145	-1.1878327709023981	-3.4566644406544844
SH021573.07FU_JN709043_reps	-1.3798653571201225	3.3934021610434026	0.2428907030594658
SH492656.07FU_KT329213_reps	1.3667244525360207	-0.7841640096490412	0.24846171078804247
SH028902.07FU_AF444499_refs	-1.9967193095279594	2.2025646585638494	-0.4637750363576103
SH010433.07FU_AF033422_refs	-3.507911631305303	1.513521136682746	2.3107690834772896
SH028164.07FU_GU721438_reps	-1.298469254214849	-0.23412984426665595	-2.386872646831244
SH028821.07FU_EF679363_refs	0.13286905602685017	-0.049119172651055365	-2.0245541310536552
SH011584.07FU_UDB014259_refs	-0.1956021277500053	2.8658556360418768	2.9959696554911446
SH014188.07FU_AJ244232_refs	0.207802227299128	3.311014713686225	1.6407533907664131
SH020196.07FU_AF181713_reps	4.0003579171108345	0.6376142520124883	-0.5124482488858391
SH028962.07FU_AY328912_refs	2.485925427238856	-2.9321617465798884	-2.23165547611591
SH014132.07FU_GU048667_refs	-2.748896547992315	2.4436226505453558	-2.961776373409001
SH004373.07FU_JX984754_reps	-0.5907656638217826	-0.6820529084985285	-3.6792477345692793
SH493989.07FU_KM484852_reps	0.0955735953258614	-3.5882834773843317	0.224957066155703
SH028905.07FU_HQ832796_reps	-1.2378458468509574	3.690108599107978	-1.527667758487432
SH019850.07FU_KF675331_reps	1.2208074541496376	0.47598684017014214	0.7878009700548958
SH031935.07FU_AB586992_refs	1.3058954240488152	-4.701298652250054	-0.9368357634770561
SH026421.07FU_FJ037763_reps	1.4599260525511841	-2.783899722654107	-3.728464958690375
SH022314.07FU_FJ427059_refs	4.028114369671259	-6.968865809995416	1.0660474920046639
SH008752.07FU_EU479964_reps	3.3941642554210762	-0.8811005931680231	-2.767320988200871
SH005241.07FU_AF272667_reps	0.1965419562267403	0.19318771545242974	-0.3111752844083
SH487732.07FU_KP757539_reps	5.578322461407099	-1.179404912549737	0.22919579086426012
SH013167.07FU_AY373871_refs	0.009972861568842362	1.075233997743842	-1.043799874805181
SH021473.07FU_JF706656_reps	-0.6923329321933647	2.7776991743261785	-0.07598036291476973
SH010416.07FU_UDB011478_refs	1.1155520589756112	-1.8890549522225886	-4.709531662486762
SH030006.07FU_AY046210_refs	1.7482650341199975	-0.06176823194670966	1.3656970882189583
New.ReferenceOTU2329	0.3652794869350533	-0.0983647685830622	-0.33430385353442915
New.ReferenceOTU12547	5.98320823029748	-3.492426333982232	-3.110200283549994
New.ReferenceOTU7775	-2.2421469180179496	3.884128393572089	0.13378122685077898
New.ReferenceOTU9328	3.953596404354487	0.6890533882791967	-0.1800618148076225
New.ReferenceOTU10341	4.557333758633051	-2.8370999675576716	-0.25720458986636885
