#SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_ACGT	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	compartment	genotype	zone	transect	phenanthrene_weath_ratio	dibenzothiophene_weath_ratio	total_PAH	total_chrysenes	total_phenanthrenes	total_dibenzothiphenes	Description
130	NNNNNNNN	AAAAAAAA	130	E6	C10	2	130-C10-14823853	MM2	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	MM	NA	NA	0.261682243	0	0.252336449	0.004672897	Soil
131	NNNNNNNN	AAAAAAAA	131	F6	C11	2	131-C11-14823854	ML2-6	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.149122807	0	0.065789474	0.021929825	Soil
132	NNNNNNNN	AAAAAAAA	132	G6	C12	2	132-C12-14823855	MM4	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	MM	0.396061269	0.249320036	7.742718447	4.019417476	2.63592233	1.334951456	Soil
133	NNNNNNNN	AAAAAAAA	133	H6	D1	2	133-combined-14823856	MM1	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	MM	NA	NA	0.067567568	0	0.033783784	0.006756757	Soil
134	NNNNNNNN	AAAAAAAA	134	I6	D2	2	134-D2-14823857	ML2-5	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.172839506	0	0.163580247	0.00308642	Soil
135	NNNNNNNN	AAAAAAAA	135	J6	D3	2	135-D3-14823858	ML2-2	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.026162791	0	0.01744186	0.002906977	Soil
136	NNNNNNNN	AAAAAAAA	136	K6	D4	2	136-D4-14823859	ML2-8	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.072847682	0	0.029801325	0.01986755	Soil
137	NNNNNNNN	AAAAAAAA	137	L6	D5	2	137-combined-14828841	MM3	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	MM	0.857027136	0.697255575	7.002463054	0.869458128	5.21182266	2.002463054	Soil
138	NNNNNNNN	AAAAAAAA	138	M6	D6	2	138-D6-14828842	ML2-4	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.031620553	0	0.019762846	0	Soil
139	NNNNNNNN	AAAAAAAA	139	N6	D7	2	139-D7-14823860	ML2-3	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	NA	NA	0.054216867	0	0.036144578	0.006024096	Soil
140	NNNNNNNN	AAAAAAAA	140	O6	D8	2	140-D8-14823862	ML2-9	12/3/2013	F	SALT	O	December	FALL	Soil	NA	NA	ML2	0.76119403	0.567567568	0.348765432	0.049382716	0.157407407	0.064814815	Soil
141	NNNNNNNN	AAAAAAAA	141	P6	D9	2	141-D9-14823863	BJ 5E	11/15/2013	BJ	SALT	O	November	FALL	Soil	5	E	NA	NA	NA	NA	NA	NA	NA	Soil
142	NNNNNNNN	AAAAAAAA	142	Q6	D10	2	142-D10-14823864	BJ 6E	11/15/2013	BJ	SALT	O	November	FALL	Soil	6	E	NA	NA	NA	NA	NA	NA	NA	Soil
143	NNNNNNNN	AAAAAAAA	143	R6	D11	2	143-D11-14823865	BJ 5D	11/15/2013	BJ	SALT	O	November	FALL	Soil	5	D	NA	NA	NA	NA	NA	NA	NA	Soil
144	NNNNNNNN	AAAAAAAA	144	S6	D12	2	144-D12-14828843	BJ 3D	11/15/2013	BJ	SALT	O	November	FALL	Soil	3	D	NA	NA	NA	NA	NA	NA	NA	Soil
145	NNNNNNNN	AAAAAAAA	145	V6	E1	2	145-E1-14798806	BJ 6D	11/15/2013	BJ	SALT	O	November	FALL	Soil	6	D	NA	NA	NA	NA	NA	NA	NA	Soil
146	NNNNNNNN	AAAAAAAA	146	W6	E2	2	146-E2-14828844	BJ 3E	11/15/2013	BJ	SALT	O	November	FALL	Soil	3	E	NA	NA	NA	NA	NA	NA	NA	Soil
