Station_ID,MonDate,Salinity,Water_Level,Water_Temperature,GEOID
"CRMS0176-H0X","10/28/2019 12:00:00 AM","13.25094","1.225027","25.49409","GEOID12A  "
"CRMS0176-H0X","11/28/2019 12:00:00 AM","19.70625","0.4624306","17.51264","GEOID12A  "
"CRMS0176-H0X","12/28/2019 12:00:00 AM","20.20068","0.1125304","15.85088","GEOID12A  "
"CRMS0176-H0X","1/28/2020 12:00:00 AM","17.42084","0.2038972","16.04033","GEOID12A  "
"CRMS0176-H0X","2/28/2020 12:00:00 AM","12.20785","0.1396657","16.12369","GEOID12A  "
"CRMS0176-H0X","3/28/2020 12:00:00 AM","10.00927","0.4387634","22.69113","GEOID12A  "
"CRMS0176-H0X","4/28/2020 12:00:00 AM","10.48861","0.6992222","23.11361","GEOID12A  "
"CRMS0176-H0X","5/28/2020 12:00:00 AM","10.33884","0.6506451","26.21828","GEOID12A  "
"CRMS0176-H0X","6/28/2020 12:00:00 AM","8.823472","0.9045694","28.88194","GEOID12A  "
"CRMS0176-H0X","7/28/2020 12:00:00 AM","7.134677","0.6222446","29.43253","GEOID12A  "
"CRMS0176-H0X","8/28/2020 12:00:00 AM","10.35242","0.7824328","30.40659","GEOID12A  "
"CRMS0176-H0X","9/28/2020 12:00:00 AM","12.93041","1.16611","27.87298","GEOID12A  "
