SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.103	NNNNNNNN	AAAAAAAA	K4	A7	2	103-A7-14828840	ML1-5	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.022590361	0.069277108	0.043674699	0.022590361	0.15813253	0.754098361	0.659090909	0.5	29.133392	-90.145346	20	Soil
S2.100	NNNNNNNN	AAAAAAAA	H4	A4	2	100-A4-14824830	ML1-10	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.02388535	0.041401274	0.031847134	0.02388535	0.121019108	0.634146341	0.571428571	0.5	29.133361	-90.145345	0	Soil
S2.107	NNNNNNNN	AAAAAAAA	O4	A11	2	107-A11-14823831	ML2-9	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.016025641	0.021367521	0.045940171	0.016025641	0.099358974	0.571428571	0.74137931	0.5	29.133371	-90.145493	10	Soil
S2.109	NNNNNNNN	AAAAAAAA	Q4	B1	2	109-B1-14823833	ML2-7	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.020380435	0.029891304	0.046195652	0.020380435	0.116847826	0.594594595	0.693877551	0.5	29.133371	-90.145493	10	Soil
S2.111	NNNNNNNN	AAAAAAAA	S4	B3	2	111-B3-14824834	ML1-8	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.034722222	0.053240741	0.076388889	0.034722222	0.199074074	0.605263158	0.6875	0.5	29.133364	-90.145339	10	Soil
S2.112	NNNNNNNN	AAAAAAAA	T4	B4	2	112-B4-14823834	ML1-9	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.022727273	0.03030303	0.048484848	0.027272727	0.128787879	0.571428571	0.680851064	0.545454545	29.133361	-90.145345	10	Soil
S2.115	NNNNNNNN	AAAAAAAA	A5	B7	2	115-B7-14823837	ML2-5	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.024896266	0.03526971	0.023858921	0.015560166	0.099585062	0.586206897	0.489361702	0.384615385	29.133379	-90.145524	20	Soil
S2.114	NNNNNNNN	AAAAAAAA	X4	B6	2	114-B6-14823836	ML1-7	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.025167785	0.045302013	0.055369128	0.025167785	0.151006711	0.642857143	0.6875	0.5	29.133364	-90.145339	10	Soil
S2.116	NNNNNNNN	AAAAAAAA	B5	B8	2	116-B8-14823838	ML2-2	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.015756303	0.022058824	0.021008403	0.015756303	0.074579832	0.583333333	0.571428571	0.5	29.13343	-90.145595	40	Soil
S2.118	NNNNNNNN	AAAAAAAA	F5	B10	2	118-B10-14823840	MM-1	8/9/2012	F	SALT	O	August	SUMMER	NA	MM	0.039473684	0.052631579	0.055263158	0.039473684	0.186842105	0.571428571	0.583333333	0.5	29.133341	-90.145361	0	Soil
S2.119	NNNNNNNN	AAAAAAAA	G5	B11	2	119-B11-14823841	MM-4	8/9/2012	F	SALT	O	August	SUMMER	NA	MM	0.258264463	0.272727273	7.268595041	1.541322314	9.340909091	0.513618677	0.96568762	0.856486797	29.133354	-90.145454	30	Soil
S2.11	NNNNNNNN	AAAAAAAA	K	A11	1	11-A11-14821835	ML2-6	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.105	0.1	0.06	0.34	0.583333333	0.571428571	0.444444444	29.133379	-90.145524	20	Soil
